ticker,company name,short name,industry,exchange,market cap,sector
A,Agilent Technologies Inc.,Agilent,Medical Diagnostics & Research,New York Stock Exchange,24218068096,Healthcare
AA,Alcoa Corporation,Alcoa,Metals & Mining,New York Stock Exchange,5374966543,Basic Materials
AAC,AAC Holdings Inc.,AAC,Health Care Providers,New York Stock Exchange,63720099,Healthcare
AAN,Aaron's Inc.,Aaron's,Consulting & Outsourcing,New York Stock Exchange,3677542512,Industrials
AAP,Advance Auto Parts Inc W/I,Advance Auto Parts,Retail - Apparel & Specialty,New York Stock Exchange,11761401561,Consumer Cyclical
AAT,American Assets Trust Inc.,American Assets Trust,REITs,New York Stock Exchange,2032912309,Real Estate
AB,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding Units,Asset Management,New York Stock Exchange,2944027239,Financial Services
ABB,ABB Ltd,ABB,Industrial Products,New York Stock Exchange,41399626029,Industrials
ABBV,AbbVie Inc.,AbbVie,Drug Manufacturers,New York Stock Exchange,1.18126E+11,Healthcare
ABC,AmerisourceBergen Corporation,AmerisourceBergen,Medical Distribution,New York Stock Exchange,17826541464,Healthcare
ABEV,Ambev S.A. American Depositary Shares (Each representing 1),Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,New York Stock Exchange,78133961470,Consumer Defensive
ABG,Asbury Automotive Group Inc,Asbury Automotive,Autos,New York Stock Exchange,1414255224,Consumer Cyclical
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Business Services,New York Stock Exchange,2278017026,Industrials
ABR,Arbor Realty Trust,Arbor Realty Trust,REITs,New York Stock Exchange,1033090857,Real Estate
ABT,Abbott Laboratories,Abbott Laboratories,Medical Devices,New York Stock Exchange,1.27334E+11,Healthcare
AC,Associated Capital Group Inc.,Associated Capital,Brokers & Exchanges,New York Stock Exchange,954976182,Financial Services
ACA,Arcosa Inc.,Arcosa,Engineering & Construction,New York Stock Exchange,1438586026,Industrials
ACB,Aurora Cannabis Inc.,Aurora Cannabis,Drug Manufacturers,New York Stock Exchange,8024585262,Healthcare
ACC,American Campus Communities Inc,American Campus Communities,REITs,New York Stock Exchange,6247265538,Real Estate
ACCO,Acco Brands Corporation,Acco Brands,Industrial Products,New York Stock Exchange,935958166,Industrials
ACH,Aluminum Corporation of China Limited American Depositary Shares,Aluminum of China Limited American Depositary Shares,Metals & Mining,New York Stock Exchange,5627674210,Basic Materials
ACM,AECOM,AECOM,Engineering & Construction,New York Stock Exchange,4850975102,Industrials
ACN,Accenture plc Class A (Ireland),Accenture plc (Ireland),Application Software,New York Stock Exchange,99997753856,Technology
ACP,Aberdeen Income Credit Strategies Fund,Aberdeen Income Credit Strategies Fund,Asset Management,New York Stock Exchange,153881827,Financial Services
ACRE,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate,REITs,New York Stock Exchange,410676966,Real Estate
ACV,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Asset Management,New York Stock Exchange,220560525,Financial Services
ADC,Agree Realty Corporation,Agree Realty,REITs,New York Stock Exchange,2492952239,Real Estate
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,Consumer Packaged Goods,New York Stock Exchange,24943068244,Consumer Defensive
ADNT,Adient plc,Adient plc,Autos,New York Stock Exchange,1844457922,Consumer Cyclical
ADS,Alliance Data Systems Corporation,Alliance Data Systems,Credit Services,New York Stock Exchange,9861341688,Financial Services
ADSW,Advanced Disposal Services Inc.,Advanced Disposal Services,Waste Management,New York Stock Exchange,2283030149,Industrials
ADT,ADT Inc.,ADT,Consulting & Outsourcing,New York Stock Exchange,5812943282,Industrials
ADX,Adams Diversified Equity Fund Inc.,Adams Diversified Equity Fund,Asset Management,New York Stock Exchange,1392993267,Financial Services
AEE,Ameren Corporation,Ameren,Utilities - Regulated,New York Stock Exchange,16853966690,Utilities
AEG,AEGON N.V.,AEGON N.V.,Insurance,New York Stock Exchange,10403542336,Financial Services
AEL,American Equity Investment Life Holding Company,American Equity Investment Life Holding Company,Insurance - Life,New York Stock Exchange,2863876999,Financial Services
AEM,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,Metals & Mining,New York Stock Exchange,10232390144,Basic Materials
AEO,American Eagle Outfitters Inc.,American Eagle Outfitters,Retail - Apparel & Specialty,New York Stock Exchange,3758005690,Consumer Cyclical
AEP,American Electric Power Company Inc.,American Electric Power Company,Utilities - Regulated,New York Stock Exchange,39187358482,Utilities
AER,AerCap Holdings N.V.,AerCap N.V.,Transportation & Logistics,New York Stock Exchange,6965955050,Industrials
AES,The AES Corporation,The AES,Utilities - Regulated,New York Stock Exchange,11146466572,Utilities
AFB,AllianceBernstein National Municipal Income Fund Inc,AllianceBernstein National Municipal Income Fund,Asset Management,New York Stock Exchange,364485788,Financial Services
AFG,American Financial Group Inc.,American Financial,Insurance - Property & Casualty,New York Stock Exchange,8424700200,Financial Services
AFI,Armstrong Flooring Inc.,Armstrong Flooring,Building Materials,New York Stock Exchange,342732371,Basic Materials
AFL,AFLAC Incorporated,AFLAC Incorporated,Insurance - Life,New York Stock Exchange,36268833720,Financial Services
AFT,Apollo Senior Floating Rate Fund Inc.,Apollo Senior Floating Rate Fund,Asset Management,New York Stock Exchange,228456805,Financial Services
AG,First Majestic Silver Corp. (Canada),First Majestic Silver (Canada),Metals & Mining,New York Stock Exchange,1172933677,Basic Materials
AGCO,AGCO Corporation,AGCO,Farm & Construction Machinery,New York Stock Exchange,5144835718,Industrials
AGD,Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund,Asset Management,New York Stock Exchange,121730945,Financial Services
AGI,Alamos Gold Inc. Class A,Alamos Gold,Metals & Mining,New York Stock Exchange,1733238399,Basic Materials
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,New York Stock Exchange,773369061,Financial Services
AGM.A,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,New York Stock Exchange,675475709,Financial Services
AGN,Allergan plc,Allergan plc,Drug Manufacturers,New York Stock Exchange,46724222931,Healthcare
AGO,Assured Guaranty Ltd.,Assured Guaranty,Insurance - Specialty,New York Stock Exchange,4278476184,Financial Services
AGR,Avangrid Inc.,Avangrid,Utilities - Regulated,New York Stock Exchange,15357562018,Utilities
AGRO,Adecoagro S.A.,Adecoagro S.A.,Consumer Packaged Goods,New York Stock Exchange,866005374,Consumer Defensive
AGS,PlayAGS Inc.,PlayAGS,Travel & Leisure,New York Stock Exchange,889345016,Consumer Cyclical
AGX,Argan Inc.,Argan,Engineering & Construction,New York Stock Exchange,648053325,Industrials
AHC,A.H. Belo Corporation (TX),A.H. Belo (TX),Publishing,New York Stock Exchange,85921626,Consumer Cyclical
AHH,Armada Hoffler Properties Inc.,Armada Hoffler Properties,REITs,New York Stock Exchange,759305218,Real Estate
AHL,Aspen Insurance Holdings Limited,Aspen Insurance Limited,Insurance - Specialty,New York Stock Exchange,2500782816,Financial Services
AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust,REITs,New York Stock Exchange,523379067,Real Estate
AI,Arlington Asset Investment Corp Class A (new),Arlington Asset Investment (new),Banks,New York Stock Exchange,264917490,Financial Services
AIF,Apollo Tactical Income Fund Inc.,Apollo Tactical Income Fund,Asset Management,New York Stock Exchange,210451578,Financial Services
AIG,American International Group Inc.,American International,Insurance,New York Stock Exchange,38924532680,Financial Services
AIN,Albany International Corporation,Albany International,Homebuilding & Construction,New York Stock Exchange,2268490000,Consumer Cyclical
AIR,AAR Corp.,AAR,Aerospace & Defense,New York Stock Exchange,1310634000,Industrials
AIT,Applied Industrial Technologies Inc.,Applied Industrial,Industrial Distribution,New York Stock Exchange,2268994243,Industrials
AIV,Apartment Investment and Management Company,Apartment Investment and Management Company,REITs,New York Stock Exchange,7690382195,Real Estate
AIZ,Assurant Inc.,Assurant,Insurance,New York Stock Exchange,6081285630,Financial Services
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Brokers & Exchanges,New York Stock Exchange,14206086180,Financial Services
AJRD,Aerojet Rocketdyne Holdings Inc.,Aerojet Rocketdyne,Aerospace & Defense,New York Stock Exchange,3143745000,Industrials
AJX,Great Ajax Corp.,Great Ajax,REITs,New York Stock Exchange,247398605,Real Estate
AKO.A,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,New York Stock Exchange,2598871816,Consumer Defensive
AKO.B,Embotelladora Andina S.A.,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,New York Stock Exchange,2911851504,Consumer Defensive
AKP,Alliance California Municipal Income Fund Inc,Alliance California Municipal Income Fund,Asset Management,New York Stock Exchange,117797778,Financial Services
AKR,Acadia Realty Trust,Acadia Realty Trust,REITs,New York Stock Exchange,2354443049,Real Estate
AKS,AK Steel Holding Corporation,AK Steel Holding,Steel,New York Stock Exchange,946607295,Basic Materials
AL,Air Lease Corporation Class A,Air Lease,Consulting & Outsourcing,New York Stock Exchange,4225476136,Industrials
ALB,Albemarle Corporation,Albemarle,Chemicals,New York Stock Exchange,8702510217,Basic Materials
ALE,Allete Inc.,Allete,Utilities - Regulated,New York Stock Exchange,3898335786,Utilities
ALEX,Alexander & Baldwin Inc. REIT Holding Company,Alexander & Baldwin REIT Holding Company,REITs,New York Stock Exchange,1690476248,Real Estate
ALG,Alamo Group Inc.,Alamo,Farm & Construction Machinery,New York Stock Exchange,1018621783,Industrials
ALK,Alaska Air Group Inc.,Alaska Air,Airlines,New York Stock Exchange,7950377230,Industrials
ALL,Allstate Corporation (The),Allstate (The),Insurance - Property & Casualty,New York Stock Exchange,30586473576,Financial Services
ALLE,Allegion plc,Allegion plc,Consulting & Outsourcing,New York Stock Exchange,8296466995,Industrials
ALLY,Ally Financial Inc.,Ally Financial,Banks,New York Stock Exchange,10733899000,Financial Services
ALSN,Allison Transmission Holdings Inc.,Allison Transmission,Autos,New York Stock Exchange,6408018203,Consumer Cyclical
ALV,Autoliv Inc.,Autoliv,Autos,New York Stock Exchange,6753572580,Consumer Cyclical
ALX,Alexander's Inc.,Alexander's,REITs,New York Stock Exchange,1797919299,Real Estate
AM,Antero Midstream Partners LP representing limited partner interests,Antero Midstream Partners representing limited partner interests,Oil & Gas - Midstream,New York Stock Exchange,4784411954,Energy
AMBR,Amber Road Inc.,Amber Road,Application Software,New York Stock Exchange,235122300,Technology
AMC,AMC Entertainment Holdings Inc. Class A,AMC Entertainment,Entertainment,New York Stock Exchange,1485428713,Consumer Cyclical
AME,AMETEK Inc.,AMETEK,Industrial Products,New York Stock Exchange,17106947136,Industrials
AMG,Affiliated Managers Group Inc.,Affiliated Managers,Asset Management,New York Stock Exchange,5657594578,Financial Services
AMGP,Antero Midstream GP LP of Beneficial Interests,Antero Midstream GP of Beneficial Interests,Oil & Gas - Midstream,New York Stock Exchange,2543981643,Energy
AMH,American Homes 4 Rent of Beneficial Interest,American Homes 4 Rent of Beneficial Interest,REITs,New York Stock Exchange,6680850054,Real Estate
AMID,American Midstream Partners LP representing Limited Partner Interests,American Midstream Partners representing Limited Partner Interests,Oil & Gas - Midstream,New York Stock Exchange,210421123,Energy
AMN,AMN Healthcare Services Inc,AMN Healthcare Services,Health Care Providers,New York Stock Exchange,3019228636,Healthcare
AMOV,America Movil S.A.B. de C.V. Class An Depositary Shares,America Movil S.A.B. de C.V. An Depositary Shares,Communication Services,New York Stock Exchange,52825514016,Communication Services
AMP,Ameriprise Financial Inc.,Ameriprise Financial,Asset Management,New York Stock Exchange,17322367000,Financial Services
AMRC,Ameresco Inc. Class A,Ameresco,Engineering & Construction,New York Stock Exchange,700682851,Industrials
AMRX,Amneal Pharmaceuticals Inc. Class A,Amneal Pharmaceuticals,Drug Manufacturers,New York Stock Exchange,3866444230,Healthcare
AMT,American Tower Corporation (REIT),American Tower (REIT),Communication Services,New York Stock Exchange,75296994959,Communication Services
AMX,America Movil S.A.B. de C.V.n Depository Receipt Series L,America Movil S.A.B. de C.V.n Depository Receipt Series L,Communication Services,New York Stock Exchange,53518848887,Communication Services
AN,AutoNation Inc.,AutoNation,Autos,New York Stock Exchange,3481004105,Consumer Cyclical
ANDX,Andeavor Logistics LP representing Limited Partner Interests,Andeavor Logistics representing Limited Partner Interests,Oil & Gas - Midstream,New York Stock Exchange,8675406221,Energy
ANET,Arista Networks Inc.,Arista Networks,Computer Hardware,New York Stock Exchange,16475585139,Technology
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Company,Retail - Apparel & Specialty,New York Stock Exchange,1443324000,Consumer Cyclical
ANFI,Amira Nature Foods Ltd,Amira Nature Foods,Consumer Packaged Goods,New York Stock Exchange,40567417,Consumer Defensive
ANH,Anworth Mortgage Asset Corporation,Anworth Mortgage Asset,REITs,New York Stock Exchange,443089922,Real Estate
ANTM,Anthem Inc.,Anthem,Health Care Plans,New York Stock Exchange,78681511720,Healthcare
AOD,Aberdeen Total Dynamic Dividend Fund,Aberdeen Total Dynamic Dividend Fund,Asset Management,New York Stock Exchange,886569113,Financial Services
AON,Aon plc Class A (UK),Aon plc (UK),Brokers & Exchanges,New York Stock Exchange,40172798215,Financial Services
AOS,A.O. Smith Corporation,A.O. Smith,Industrial Products,New York Stock Exchange,8373483159,Industrials
AP,Ampco-Pittsburgh Corporation,Ampco-Pittsburgh,Industrial Products,New York Stock Exchange,46105982,Industrials
APA,Apache Corporation,Apache,Oil & Gas - E&P,New York Stock Exchange,12574280859,Energy
APAM,Artisan Partners Asset Management Inc. Class A,Artisan Partners Asset Management,Asset Management,New York Stock Exchange,1823546066,Financial Services
APC,Anadarko Petroleum Corporation,Anadarko Petroleum,Oil & Gas - E&P,New York Stock Exchange,24775320715,Energy
APD,Air Products and Chemicals Inc.,Air Products and Chemicals,Chemicals,New York Stock Exchange,36652049816,Basic Materials
APF,Morgan Stanley Asia-Pacific Fund Inc.,Morgan Stanley Asia-Pacific Fund,Asset Management,New York Stock Exchange,227676685,Financial Services
APH,Amphenol Corporation,Amphenol,Computer Hardware,New York Stock Exchange,26670464984,Technology
APHA,Aphria Inc.,Aphria,Drug Manufacturers,New York Stock Exchange,2711733750,Healthcare
APLE,Apple Hospitality REIT Inc.,Apple Hospitality REIT,REITs,New York Stock Exchange,3708422877,Real Estate
APO,Apollo Global Management LLC Class A Representing Class A Limitied Liability Company Interests,Apollo Global Management LLC Representing Limitied Liability Company Interests,Asset Management,New York Stock Exchange,12421500176,Financial Services
APRN,Blue Apron Holdings Inc. Class A,Blue Apron,Retail - Apparel & Specialty,New York Stock Exchange,267373180,Consumer Cyclical
APTS,Preferred Apartment Communities Inc.,Preferred Apartment Communities,REITs,New York Stock Exchange,654325444,Real Estate
APTV,Aptiv PLC,Aptiv PLC,Autos,New York Stock Exchange,20706287350,Consumer Cyclical
APU,AmeriGas Partners L.P.,AmeriGas Partners,Utilities - Regulated,New York Stock Exchange,2882289232,Utilities
APY,Apergy Corporation,Apergy,Oil & Gas - Services,New York Stock Exchange,2660524552,Energy
AQ,Aquantia Corp.,Aquantia,Semiconductors,New York Stock Exchange,310205611,Technology
AQN,Algonquin Power & Utilities Corp.,Algonquin Power & Utilities,Utilities - Independent Power Producers,New York Stock Exchange,5406696849,Utilities
AQUA,Evoqua Water Technologies Corp.,Evoqua Water,Industrial Products,New York Stock Exchange,1270465944,Industrials
AR,Antero Resources Corporation,Antero Resources,Oil & Gas - E&P,New York Stock Exchange,3095550057,Energy
ARA,American Renal Associates Holdings Inc,American Renal Associates,Medical Diagnostics & Research,New York Stock Exchange,397683705,Healthcare
ARC,ARC Document Solutions Inc.,ARC Document Solutions,Business Services,New York Stock Exchange,116763261,Industrials
ARCH,Arch Coal Inc. Class A,Arch Coal,Coal,New York Stock Exchange,1654911182,Basic Materials
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Arcos Dorados Shares,Restaurants,New York Stock Exchange,1819196234,Consumer Cyclical
ARD,Ardagh Group S.A.,Ardagh S.A.,Packaging & Containers,New York Stock Exchange,2906490000,Consumer Cyclical
ARDC,Ares Dynamic Credit Allocation Fund Inc.,Ares Dynamic Credit Allocation Fund,Asset Management,New York Stock Exchange,335481263,Financial Services
ARE,Alexandria Real Estate Equities Inc.,Alexandria Real Estate Equities,REITs,New York Stock Exchange,14079533135,Real Estate
ARES,Ares Management Corporation Class A,Ares Management,Asset Management,New York Stock Exchange,4734390123,Financial Services
ARGO,Argo Group International Holdings Ltd.,Argo International,Insurance - Property & Casualty,New York Stock Exchange,2273085199,Financial Services
ARI,Apollo Commercial Real Estate Finance Inc,Apollo Commercial Real Estate Finance,REITs,New York Stock Exchange,2456212918,Real Estate
ARL,American Realty Investors Inc.,American Realty Investors,Real Estate Services,New York Stock Exchange,204602602,Real Estate
ARLO,Arlo Technologies Inc.,Arlo,Application Software,New York Stock Exchange,532352783,Technology
ARMK,Aramark,Aramark,Restaurants,New York Stock Exchange,8364084044,Consumer Cyclical
ARNC,Arconic Inc.,Arconic,Industrial Products,New York Stock Exchange,9051129590,Industrials
AROC,Archrock Inc.,Archrock,Oil & Gas - Services,New York Stock Exchange,1257154386,Energy
ARR,ARMOUR Residential REIT Inc.,ARMOUR Residential REIT,REITs,New York Stock Exchange,1075310860,Real Estate
ARW,Arrow Electronics Inc.,Arrow Electronics,Computer Hardware,New York Stock Exchange,6612007122,Technology
ASA,ASA Gold and Precious Metals Limited,ASA Gold and Precious Metals Limited,Asset Management,New York Stock Exchange,196949930,Financial Services
ASB,Associated Banc-Corp,Associated Banc-Corp,Banks,New York Stock Exchange,3647279200,Financial Services
ASC,Ardmore Shipping Corporation,Ardmore Shipping,Transportation & Logistics,New York Stock Exchange,192960355,Industrials
ASG,Liberty All-Star Growth Fund Inc.,Liberty All-Star Growth Fund,Asset Management,New York Stock Exchange,138032958,Financial Services
ASGN,ASGN Incorporated,ASGN Incorporated,Employment Services,New York Stock Exchange,3338588458,Industrials
ASH,Ashland Global Holdings Inc.,Ashland Global,Chemicals,New York Stock Exchange,4791452362,Basic Materials
ASIX,AdvanSix Inc.,AdvanSix,Chemicals,New York Stock Exchange,969785325,Basic Materials
ASPN,Aspen Aerogels Inc.,Aspen Aerogels,Building Materials,New York Stock Exchange,64001200,Basic Materials
ASR,Grupo Aeroportuario del Sureste S.A. de C.V.,Grupo Aeroportuario del Sureste S.A. de C.V.,Transportation & Logistics,New York Stock Exchange,5277000000,Industrials
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two),ASE Technology Holding Co. American Depositary Shares (each representing Two),Semiconductors,New York Stock Exchange,8206065228,Technology
AT,Atlantic Power Corporation (Canada),Atlantic Power (Canada),Utilities - Independent Power Producers,New York Stock Exchange,268687510,Utilities
ATEN,A10 Networks Inc.,A10 Networks,Application Software,New York Stock Exchange,516588919,Technology
ATGE,Adtalem Global Education Inc.,Adtalem Global Education,Education,New York Stock Exchange,2916689250,Consumer Defensive
ATH,Athene Holding Ltd. Class A,Athene Holding,Insurance,New York Stock Exchange,8727420204,Financial Services
ATHM,Autohome Inc. American Depositary Shares each representing one class A.,Autohome American Depositary Shares each representing one A.,Online Media,New York Stock Exchange,8723479546,Technology
ATI,Allegheny Technologies Incorporated,Allegheny Incorporated,Industrial Products,New York Stock Exchange,3485228301,Industrials
ATKR,Atkore International Group Inc.,Atkore International,Industrial Products,New York Stock Exchange,1104249946,Industrials
ATO,Atmos Energy Corporation,Atmos Energy,Utilities - Regulated,New York Stock Exchange,11272741020,Utilities
ATR,AptarGroup Inc.,AptarGroup,Packaging & Containers,New York Stock Exchange,6271984690,Consumer Cyclical
ATTO,Atento S.A.,Atento S.A.,Business Services,New York Stock Exchange,310418035,Industrials
ATU,Actuant Corporation,Actuant,Industrial Products,New York Stock Exchange,1415039907,Industrials
ATUS,Altice USA Inc. Class A,Altice USA,Communication Services,New York Stock Exchange,14173290146,Communication Services
ATV,Acorn International Inc. ADS,Acorn International ADS,Retail - Apparel & Specialty,New York Stock Exchange,68428798,Consumer Cyclical
AU,AngloGold Ashanti Limited,AngloGold Ashanti Limited,Metals & Mining,New York Stock Exchange,5602029970,Basic Materials
AUO,AU Optronics Corp American Depositary Shares,AU Optronics American Depositary Shares,Computer Hardware,New York Stock Exchange,3628340406,Technology
AUY,Yamana Gold Inc. (Canada),Yamana Gold (Canada),Metals & Mining,New York Stock Exchange,2620183451,Basic Materials
AVA,Avista Corporation,Avista,Utilities - Regulated,New York Stock Exchange,2730650160,Utilities
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),Grupo Aval Acciones y Valores S.A. (Each representing 20 preferred shares),Banks,New York Stock Exchange,7909761085,Financial Services
AVB,AvalonBay Communities Inc.,AvalonBay Communities,REITs,New York Stock Exchange,26585728537,Real Estate
AVD,American Vanguard Corporation ($0.10 Par Value),American Vanguard ($0.10 Par Value),Agriculture,New York Stock Exchange,540605778,Basic Materials
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares),Avianca S.A. American Depositary Shares (Each representing 8 preferred Shares),Airlines,New York Stock Exchange,579498861,Industrials
AVK,Advent Claymore Convertible Securities and Income Fund,Advent Claymore Convertible Securities and Income Fund,Asset Management,New York Stock Exchange,493710675,Financial Services
AVLR,Avalara Inc.,Avalara,Application Software,New York Stock Exchange,2840432266,Technology
AVNS,Avanos Medical Inc.,Avanos Medical,Medical Instruments & Equipment,New York Stock Exchange,2141868712,Healthcare
AVP,Avon Products Inc.,Avon Products,Consumer Packaged Goods,New York Stock Exchange,1167830804,Consumer Defensive
AVX,AVX Corporation,AVX,Computer Hardware,New York Stock Exchange,3002866572,Technology
AVY,Avery Dennison Corporation,Avery Dennison,Industrial Products,New York Stock Exchange,8989251410,Industrials
AVYA,Avaya Holdings Corp.,Avaya,Business Services,New York Stock Exchange,1905069951,Industrials
AWF,Alliancebernstein Global High Income Fund,Alliancebernstein Global High Income Fund,Asset Management,New York Stock Exchange,989916692,Financial Services
AWI,Armstrong World Industries Inc,Armstrong World Industries,Building Materials,New York Stock Exchange,3409654702,Basic Materials
AWK,American Water Works Company Inc.,American Water Works Company,Utilities - Regulated,New York Stock Exchange,17261632731,Utilities
AWP,Aberdeen Global Premier Properties Fund of Beneficial Interest,Aberdeen Global Premier Properties Fund of Beneficial Interest,Asset Management,New York Stock Exchange,488533480,Financial Services
AWR,American States Water Company,American States Water Company,Utilities - Regulated,New York Stock Exchange,2469634071,Utilities
AX,Axos Financial Inc.,Axos Financial,Banks,New York Stock Exchange,1944848110,Financial Services
AXE,Anixter International Inc.,Anixter International,Industrial Distribution,New York Stock Exchange,2039714058,Industrials
AXL,American Axle & Manufacturing Holdings Inc.,American Axle & Manufacturing,Autos,New York Stock Exchange,1697864335,Consumer Cyclical
AXP,American Express Company,American Express Company,Credit Services,New York Stock Exchange,88347755666,Financial Services
AXR,AMREP Corporation,AMREP,Business Services,New York Stock Exchange,50230447,Industrials
AXS,Axis Capital Holdings Limited,Axis Capital Limited,Insurance - Property & Casualty,New York Stock Exchange,4596394140,Financial Services
AXTA,Axalta Coating Systems Ltd.,Axalta Coating Systems,Chemicals,New York Stock Exchange,6078480000,Basic Materials
AYI,Acuity Brands Inc.,Acuity Brands,Computer Hardware,New York Stock Exchange,4869663681,Technology
AYR,Aircastle Limited,Aircastle Limited,Consulting & Outsourcing,New York Stock Exchange,1580193484,Industrials
AYX,Alteryx Inc. Class A,Alteryx,Application Software,New York Stock Exchange,4269816644,Technology
AZN,Astrazeneca PLC,Astrazeneca PLC,Drug Manufacturers,New York Stock Exchange,93157298457,Healthcare
AZO,AutoZone Inc.,AutoZone,Retail - Apparel & Specialty,New York Stock Exchange,21914343880,Consumer Cyclical
AZRE,Azure Power Global Limited Equity Shares,Azure Power Global Limited Equity Shares,Utilities - Regulated,New York Stock Exchange,450332652,Utilities
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares),Azul S.A. American Depositary Shares (each representing three preferred shares),Airlines,New York Stock Exchange,3496352049,Industrials
AZZ,AZZ Inc.,AZZ,Industrial Products,New York Stock Exchange,1183575856,Industrials
B,Barnes Group Inc.,Barnes,Industrial Products,New York Stock Exchange,3073797278,Industrials
BA,The Boeing Company,The Boeing Company,Aerospace & Defense,New York Stock Exchange,2.25257E+11,Industrials
BABA,Alibaba Group Holding Limited,Alibaba Holding Limited,Retail - Apparel & Specialty,New York Stock Exchange,4.32117E+11,Consumer Cyclical
BAC,Bank of America Corporation,Bank of America,Banks,New York Stock Exchange,2.79249E+11,Financial Services
BAF,BlackRock Municipal Income Investment Quality Trust,BlackRock Municipal Income Investment Quality Trust,Asset Management,New York Stock Exchange,115667306,Financial Services
BAH,Booz Allen Hamilton Holding Corporation,Booz Allen Hamilton Holding,Business Services,New York Stock Exchange,7409481697,Industrials
BAK,Braskem SA ADR,Braskem SA,Chemicals,New York Stock Exchange,11394906298,Basic Materials
BAM,Brookfield Asset Management Inc.,Brookfield Asset Management,Asset Management,New York Stock Exchange,43412976607,Financial Services
BANC,Banc of California Inc.,Banc of California,Banks,New York Stock Exchange,753662164,Financial Services
BAP,Credicorp Ltd.,Credicorp,Banks,New York Stock Exchange,19654705620,Financial Services
BAS,Basic Energy Services Inc.,Basic Energy Services,Oil & Gas - Services,New York Stock Exchange,135461732,Energy
BAX,Baxter International Inc.,Baxter International,Medical Instruments & Equipment,New York Stock Exchange,38617472225,Healthcare
BB,BlackBerry Limited,BlackBerry Limited,Communication Equipment,New York Stock Exchange,4499245252,Technology
BBD,Banco Bradesco Sa American Depositary Shares,Banco Bradesco Sa American Depositary Shares,Banks,New York Stock Exchange,82933468243,Financial Services
BBDC,Barings BDC Inc.,Barings BDC,Credit Services,New York Stock Exchange,505660871,Financial Services
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one),Banco Bradesco Sa American Depositary Shares (each representing one),Banks,New York Stock Exchange,74834235267,Financial Services
BBF,BlackRock Municipal Income Investment Trust,BlackRock Municipal Income Investment Trust,Asset Management,New York Stock Exchange,131518234,Financial Services
BBK,Blackrock Municipal Bond Trust,Blackrock Municipal Bond Trust,Asset Management,New York Stock Exchange,149110301,Financial Services
BBL,BHP Group PlcSponsored ADR,BHP PlcSponsored,Metals & Mining,New York Stock Exchange,1.14001E+11,Basic Materials
BBN,BlackRock Taxable Municipal Bond Trust of Beneficial Interest,BlackRock Taxable Municipal Bond Trust of Beneficial Interest,Asset Management,New York Stock Exchange,1249656114,Financial Services
BBT,BB&T Corporation,BB&T,Banks,New York Stock Exchange,37464040080,Financial Services
BBU,Brookfield Business Partners L.P. Limited Partnership Units,Brookfield Business Partners Limited Partnership Units,Conglomerates,New York Stock Exchange,2172879748,Industrials
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,Banco Bilbao Vizcaya Argentaria S.A.,Banks,New York Stock Exchange,39807960000,Financial Services
BBW,Build-A-Bear Workshop Inc.,Build-A-Bear Workshop,Retail - Apparel & Specialty,New York Stock Exchange,77174116,Consumer Cyclical
BBX,BBX Capital Corporation Class A,BBX Capital,Real Estate Services,New York Stock Exchange,590005541,Real Estate
BBY,Best Buy Co. Inc.,Best Buy Co.,Retail - Apparel & Specialty,New York Stock Exchange,15933503900,Consumer Cyclical
BC,Brunswick Corporation,Brunswick,Travel & Leisure,New York Stock Exchange,4337867750,Consumer Cyclical
BCC,Boise Cascade L.L.C.,Boise Cascade L.L.C.,Forest Products,New York Stock Exchange,1074660145,Basic Materials
BCE,BCE Inc.,BCE,Communication Services,New York Stock Exchange,39035790036,Communication Services
BCEI,Bonanza Creek Energy Inc.,Bonanza Creek Energy,Oil & Gas - E&P,New York Stock Exchange,493465439,Energy
BCH,Banco De Chile ADS,Banco De Chile ADS,Banks,New York Stock Exchange,48700383442,Financial Services
